timestep,learner_elo,opponent,opponent_elo,wins,draws,losses
10000,1200,MiniMax4,1200,0,0,100
10000,1200,MiniMax2,1200,0,0,100
10000,1200,Tactical,1200,0,0,100
10000,1200,Random,1200,61,0,39
20000,680.7476133084818,Random,1171.625230033161,67,0,33
20000,680.7476133084818,Tactical,1382.5423855527856,9,0,91
20000,680.7476133084818,MiniMax2,1382.5423855527856,0,0,100
20000,680.7476133084818,MiniMax4,1382.5423855527856,0,0,100
30000,972.5192277261013,Random,907.2549823851618,68,0,32
30000,972.5192277261013,Tactical,1329.4156454671684,14,0,86
30000,972.5192277261013,MiniMax2,1395.405072210784,0,0,100
30000,972.5192277261013,MiniMax4,1395.405072210784,0,0,100
40000,908.8856351775321,Random,884.3508687123206,71,0,29
40000,908.8856351775321,Tactical,1317.7541502558865,14,0,86
40000,908.8856351775321,MiniMax2,1444.5046729271303,0,0,100
40000,908.8856351775321,MiniMax4,1444.5046729271303,0,0,100
50000,947.8698005952309,Random,814.6391094405169,72,0,28
50000,947.8698005952309,Tactical,1289.1676694528537,17,0,83
50000,947.8698005952309,MiniMax2,1474.161710255699,1,0,99
50000,947.8698005952309,MiniMax4,1474.161710255699,0,0,100
60000,949.4380909658794,PPO_50000,949.4380909658794,68,0,32
60000,949.4380909658794,Random,791.658806447063,73,0,27
60000,949.4380909658794,Tactical,1254.7011223165396,18,0,82
60000,949.4380909658794,MiniMax2,1499.0514756643163,0,1,99
70000,974.8409004307251,PPO_50000,890.7263153021954,83,0,17
70000,974.8409004307251,Random,803.9308870159813,82,0,18
70000,974.8409004307251,Tactical,1251.9369427867837,20,0,80
70000,974.8409004307251,MiniMax4,1505.1505046062016,0,0,100
80000,1067.052666898166,PPO_50000,815.2942606647338,92,0,8
80000,1067.052666898166,Random,764.8410751607232,83,0,17
80000,1067.052666898166,Tactical,1243.8377092130213,20,0,80
80000,1067.052666898166,MiniMax2,1522.852540823992,2,0,98
90000,1063.8557088886766,Random,774.2960015892481,80,0,20
90000,1063.8557088886766,PPO_50000,765.3212576018985,90,0,10
90000,1063.8557088886766,Tactical,1259.37898817802,28,0,72
90000,1063.8557088886766,MiniMax4,1535.5598382052428,0,2,98
100000,1055.0884554599425,Random,788.6047038464628,81,0,19
100000,1055.0884554599425,PPO_50000,741.2209654400446,91,0,9
100000,1055.0884554599425,Tactical,1245.6752994227945,32,0,68
100000,1055.0884554599425,MiniMax2,1551.026296502793,0,0,100
110000,1103.332443815199,PPO_100000,1103.332443815199,68,0,32
